timestamp,service,cpu_percent,memory_percent,latency_ms,error_rate_percent,request_count,db_connections
2024-01-15T13:55:00Z,api-gateway,22,45,120,0.5,340,0
2024-01-15T13:55:00Z,order-service,18,52,95,0.2,340,42
2024-01-15T13:55:00Z,db-primary,30,61,12,0.0,680,42
2024-01-15T13:56:00Z,api-gateway,24,46,118,0.4,352,0
2024-01-15T13:56:00Z,order-service,19,53,98,0.3,352,45
2024-01-15T13:56:00Z,db-primary,31,62,13,0.0,704,45
2024-01-15T13:57:00Z,api-gateway,23,45,122,0.5,348,0
2024-01-15T13:57:00Z,order-service,20,54,101,0.2,348,47
2024-01-15T13:57:00Z,db-primary,32,63,14,0.0,696,47
2024-01-15T13:58:00Z,api-gateway,25,47,125,0.6,361,0
2024-01-15T13:58:00Z,order-service,21,55,105,0.4,361,51
2024-01-15T13:58:00Z,db-primary,35,64,18,0.1,722,51
2024-01-15T13:59:00Z,api-gateway,26,47,128,0.5,358,0
2024-01-15T13:59:00Z,order-service,22,55,108,0.3,358,55
2024-01-15T13:59:00Z,db-primary,38,65,22,0.1,716,55
2024-01-15T14:00:00Z,api-gateway,27,48,135,0.7,371,0
2024-01-15T14:00:00Z,order-service,24,56,115,0.5,371,62
2024-01-15T14:00:00Z,db-primary,42,67,35,0.2,742,62
2024-01-15T14:01:00Z,api-gateway,35,50,280,2.1,389,0
2024-01-15T14:01:00Z,order-service,38,60,450,4.2,389,145
2024-01-15T14:01:00Z,db-primary,68,74,420,1.8,778,145
2024-01-15T14:02:00Z,api-gateway,52,55,1200,18.5,401,0
2024-01-15T14:02:00Z,order-service,71,68,2800,42.0,401,310
2024-01-15T14:02:00Z,db-primary,89,82,2200,8.5,802,310
2024-01-15T14:03:00Z,api-gateway,78,62,3500,94.2,388,0
2024-01-15T14:03:00Z,order-service,92,78,3000,98.1,388,500
2024-01-15T14:03:00Z,db-primary,97,91,3000,45.0,776,500
2024-01-15T14:04:00Z,api-gateway,81,65,3500,96.8,201,0
2024-01-15T14:04:00Z,order-service,88,79,3000,99.0,201,500
2024-01-15T14:04:00Z,db-primary,95,93,3000,48.0,402,500
2024-01-15T14:05:00Z,api-gateway,75,63,3200,92.0,185,0
2024-01-15T14:05:00Z,order-service,80,76,2800,95.0,185,500
2024-01-15T14:05:00Z,db-primary,50,88,800,10.0,370,120
2024-01-15T14:06:00Z,api-gateway,45,58,800,35.0,290,0
2024-01-15T14:06:00Z,order-service,45,65,600,22.0,290,85
2024-01-15T14:06:00Z,db-primary,35,72,45,1.0,580,85
2024-01-15T14:07:00Z,api-gateway,28,49,145,1.8,368,0
2024-01-15T14:07:00Z,order-service,25,57,120,0.8,368,55
2024-01-15T14:07:00Z,db-primary,32,65,18,0.1,736,55
2024-01-15T14:08:00Z,api-gateway,24,47,122,0.6,375,0
2024-01-15T14:08:00Z,order-service,21,55,105,0.4,375,50
2024-01-15T14:08:00Z,db-primary,30,63,15,0.0,750,50
